UTARIH;FONKODU;FONADI;YONTIPI;YONTURU;TOPLAMDEGER;PIYASAFIYAT;DOLASIMDAKIPAYSAYISI;YATIRIMCISAYISI;HS;TR;BP;OZ;KB;KD;YM;HZ;DG
11.05.2017 00:00:00;AEY;AEGON EMEKLILIK VE HAYAT A.Ş. KATKI EMEKLİLİK YATIRIM FONU;Devlet Katkısı Fonu           ;Devlet Katkısı Fonu;15134565.96;0.012656;1195833203.146;11414;0;0.16;0;0;85.45;0;0;0;11.69
11.05.2017 00:00:00;ANS;AEGON EMEKLİLİK VE HAYAT  A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Hisse Senedi Fonu;24063219.53;0.083185;289272790.499;19357;83.43;7.9;8.67;0;0;0;0;0;0
11.05.2017 00:00:00;ANE;AEGON EMEKLİLİK VE HAYAT A.Ş. KARMA EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Karma Fon;31255474.56;0.050954;613409466.928;28802;35.09;1.6;7.62;0;36.27;0;0;0;19.42
11.05.2017 00:00:00;ANK;AEGON EMEKLİLİK VE HAYAT A.Ş. PARA PİYASASI EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;23403338.72;0.038958;600732836.916;28504;0;56.98;0;0;23.97;0;0;0;19.05
11.05.2017 00:00:00;AEE;ALLIANZ HAYAT VE EMEKLILIK A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;27369624.16;0.012335;2218859206.391;10680;31.3;7.13;0;6.67;43.29;0;2.14;0;9.47
12.05.2017 00:00:00;AEY;AEGON EMEKLILIK VE HAYAT A.Ş. KATKI EMEKLİLİK YATIRIM FONU;Devlet Katkısı Fonu           ;Devlet Katkısı Fonu;15117835.04;0.012654;1194665495.584;11401;0;0.69;0;0;84.9;0;0;0;11.71
12.05.2017 00:00:00;ANS;AEGON EMEKLİLİK VE HAYAT  A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Hisse Senedi Fonu;23832977.35;0.08242;289166211.436;19355;83.36;7.97;8.67;0;0;0;0;0;0
12.05.2017 00:00:00;ANE;AEGON EMEKLİLİK VE HAYAT A.Ş. KARMA EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Karma Fon;31102275.48;0.050722;613191667.163;28797;34.82;1.61;7.55;0;36.47;0;0;0;19.55
12.05.2017 00:00:00;ANK;AEGON EMEKLİLİK VE HAYAT A.Ş. PARA PİYASASI EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;23397084.04;0.038969;600402285.625;27976;0;56.95;0;0;23.97;0;0;0;19.08
12.05.2017 00:00:00;AEE;ALLIANZ HAYAT VE EMEKLILIK A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;27282644.23;0.012282;2221414028.916;10679;31.05;7.09;0;6.71;43.49;0;2.14;0;9.52
15.05.2017 00:00:00;AEY;AEGON EMEKLILIK VE HAYAT A.Ş. KATKI EMEKLİLİK YATIRIM FONU;Devlet Katkısı Fonu           ;Devlet Katkısı Fonu;15107092.38;0.012655;1193811358.87;11392;0;0.62;0;0;84.94;0;0;0;11.73
15.05.2017 00:00:00;ANS;AEGON EMEKLİLİK VE HAYAT  A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Hisse Senedi Fonu;23791693.65;0.082321;289012910.191;19348;83.36;7.98;8.66;0;0;0;0;0;0
15.05.2017 00:00:00;ANE;AEGON EMEKLİLİK VE HAYAT A.Ş. KARMA EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Karma Fon;31087063.3;0.050737;612707579.668;28788;34.78;1.61;7.51;0;36.54;0;0;0;19.56
15.05.2017 00:00:00;ANK;AEGON EMEKLİLİK VE HAYAT A.Ş. PARA PİYASASI EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;23450850.43;0.039003;601254116.148;28067;0;57.01;0;0;23.95;0;0;0;19.04
15.05.2017 00:00:00;AEE;ALLIANZ HAYAT VE EMEKLILIK A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;27332972.79;0.01228;2225822816.537;10676;30.92;7.37;0;6.7;43.37;0;2.14;0;9.5
